State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9307677305659705	0.04635502165061717	3.7891510337492685E-4	0.0	2.6189545457002346E-5	0.0	0.0	0.0	0.0	0.004893780555969239	0.01581611894826573	4.0120031114568094E-4	0.0	5.916555466391127E-6	0.0013551267637332853
2	9.770318775607575E-4	0.9868778065314917	0.0013622743839269585	4.1799406227282875E-4	0.0	0.0	5.44234542429429E-7	0.0	6.914384346738642E-5	0.001940373438737172	0.0	1.6857955020599822E-4	3.691246871894196E-5	4.6374554031669243E-4	0.0076855940687592245
3	2.88241963034037E-4	0.08502851678601814	0.9066433752002719	0.0018768155323782277	3.8556824553795166E-4	0.0	0.0	0.0	0.0	0.0	0.004581925644845495	4.7110695155592704E-5	0.0	0.0010203890021650485	1.280569305934621E-4
4	0.0	0.0044551415093545986	3.1764833282602804E-4	0.9680074056485861	0.013102332733377159	0.001297975506431202	6.625149548708008E-5	2.6922594317240902E-5	1.1372960705523782E-4	0.0	6.442160240046189E-6	0.001827063795570356	1.0053064668538959E-4	0.005918797100688088	0.004759758869381302
5	0.0	0.0	1.3208996866597466E-4	0.026670614596379837	0.9366963671106513	0.035316413398616804	1.6264513030358162E-4	0.0	0.0	0.0	1.574319916187916E-5	1.0075458427302512E-4	3.35206058047496E-6	4.388168866840824E-4	4.632030646832826E-4
6	0.0	0.0	0.0	0.013848069489265367	0.1793577224947174	0.6835250424117285	0.09387169944406916	0.01015041028427094	0.0	0.0	4.070804177936828E-4	0.004924467475089993	0.002556088140076275	0.009873449969938832	0.0014859698730497013
7	0.0	0.0	0.0	0.0019542417560230595	0.0033795691454643014	0.205271383315437	0.673285039532677	0.08074813533781754	0.005002638189411129	0.0	1.2114180418864804E-5	0.001194720329206487	0.026544577568672033	0.0026075806448725655	0.0
8	0.0	0.0	4.5368473975753174E-5	0.0011355390755873223	0.0	0.024734842825624093	0.10164338511089631	0.7483291045781528	0.12199752876396677	0.0	7.95912455497367E-5	0.0010470860099688285	0.0	1.4135043512004229E-4	8.462034811582639E-4
9	0.0	0.01023296542788492	0.0	0.001309144135857099	0.0	0.0032717871616907905	0.0014000212286692179	0.06802732895411746	0.7214642290192981	0.16714020851458128	0.00607219981836976	0.013822935081835134	0.007259180657696068	0.0	0.0
10	0.014447905837592305	0.266860975001684	0.0	0.0	0.0	0.0	0.0	0.0	0.15701067481084718	0.501049415361746	0.005705368929654576	0.009042739619956533	2.6115514526796503E-4	0.0	0.045621765293251446
11	0.15279677344893142	0.0	0.03460087539831207	6.091183591617233E-4	5.649950784221498E-4	7.023349276058207E-4	3.378463649533518E-5	2.061306579488132E-4	0.021592984671949044	0.017692245854070202	0.770946232680077	1.2397945340354312E-4	0.0	1.3054483362272108E-4	0.0
12	5.189982333431245E-4	0.02257551864950333	0.0	0.023772076810295476	6.364150810651363E-4	0.004886356747886965	5.779205956142753E-4	0.0	0.01058763843765902	0.007828875314998604	1.5118215803432592E-5	0.5727418237697868	0.06415752312647527	0.0037100474676335215	0.2879916875499351
13	0.0	0.0037562925135178017	0.0	0.0013498412884884342	0.0	0.00266113622148	0.014777206859494175	0.0	0.006168806458453237	7.680548651430946E-5	0.0	0.06155937664811994	0.6903399932888408	0.19793305544146703	0.021377485793624397
14	2.1419126368511605E-5	0.0513638075207612	0.0027001550265033885	0.06828896207314411	0.0017975109868232884	0.010409546690084193	0.0011735231408762086	0.0	0.0	0.0	0.0	0.004439657467089896	0.1817475352889752	0.5775144504390968	0.10054343224027708
15	9.291731160687738E-4	0.258545957239408	9.005763930806064E-5	0.015359652200516553	0.0010267565330370338	6.60639732924221E-4	1.322638564562787E-5	1.9436248671380094E-4	0.0	0.011186899163873453	0.0	0.07539767151247374	0.0045248873016158885	0.029519505318851287	0.6025512113695635
