15	10	E	-7012958.550097334	200
transitionprobs	11	8	2.061306579488132E-4
transitionprobs	11	9	0.021592984671949044
transitionprobs	11	10	0.017692245854070202
transitionprobs	11	11	0.770946232680077
transitionprobs	11	12	1.2397945340354312E-4
transitionprobs	11	13	0.0
transitionprobs	11	14	1.3054483362272108E-4
transitionprobs	11	15	0.0
transitionprobs	12	1	5.189982333431245E-4
transitionprobs	12	2	0.02257551864950333
transitionprobs	12	3	0.0
transitionprobs	12	4	0.023772076810295476
transitionprobs	12	5	6.364150810651363E-4
transitionprobs	12	6	0.004886356747886965
transitionprobs	12	7	5.779205956142753E-4
transitionprobs	12	8	0.0
transitionprobs	12	9	0.01058763843765902
transitionprobs	12	10	0.007828875314998604
transitionprobs	12	11	1.5118215803432592E-5
transitionprobs	12	12	0.5727418237697868
transitionprobs	12	13	0.06415752312647527
transitionprobs	12	14	0.0037100474676335215
transitionprobs	12	15	0.2879916875499351
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0037562925135178017
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0013498412884884342
transitionprobs	13	5	0.0
transitionprobs	13	6	0.00266113622148
transitionprobs	13	7	0.014777206859494175
transitionprobs	13	8	0.0
transitionprobs	13	9	0.006168806458453237
transitionprobs	13	10	7.680548651430946E-5
transitionprobs	13	11	0.0
transitionprobs	13	12	0.06155937664811994
transitionprobs	13	13	0.6903399932888408
transitionprobs	13	14	0.19793305544146703
transitionprobs	13	15	0.021377485793624397
transitionprobs	14	1	2.1419126368511605E-5
transitionprobs	14	2	0.0513638075207612
transitionprobs	14	3	0.0027001550265033885
transitionprobs	14	4	0.06828896207314411
transitionprobs	14	5	0.0017975109868232884
transitionprobs	14	6	0.010409546690084193
transitionprobs	14	7	0.0011735231408762086
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.004439657467089896
transitionprobs	14	13	0.1817475352889752
transitionprobs	14	14	0.5775144504390968
transitionprobs	14	15	0.10054343224027708
transitionprobs	15	1	9.291731160687738E-4
transitionprobs	15	2	0.258545957239408
transitionprobs	15	3	9.005763930806064E-5
transitionprobs	15	4	0.015359652200516553
transitionprobs	15	5	0.0010267565330370338
transitionprobs	15	6	6.60639732924221E-4
transitionprobs	15	7	1.322638564562787E-5
transitionprobs	15	8	1.9436248671380094E-4
transitionprobs	15	9	0.0
transitionprobs	15	10	0.011186899163873453
transitionprobs	15	11	0.0
transitionprobs	15	12	0.07539767151247374
transitionprobs	15	13	0.0045248873016158885
transitionprobs	15	14	0.029519505318851287
transitionprobs	15	15	0.6025512113695635
emissionprobs	1	0	H2azAlnRep1	0	0.9960802646264513
emissionprobs	1	0	H2azAlnRep1	1	0.003919735373548743
emissionprobs	1	1	H3k04me1AlnRep1	0	0.9981268520481611
emissionprobs	1	1	H3k04me1AlnRep1	1	0.001873147951838902
emissionprobs	1	2	H3k04me2AlnRep1	0	0.9953364061397614
emissionprobs	1	2	H3k04me2AlnRep1	1	0.004663593860238569
emissionprobs	1	3	H3k04me3AlnRep1	0	0.9993916881494375
emissionprobs	1	3	H3k04me3AlnRep1	1	6.083118505625051E-4
emissionprobs	1	4	H3k09acAlnRep1	0	0.9993832950248972
emissionprobs	1	4	H3k09acAlnRep1	1	6.167049751027048E-4
emissionprobs	1	5	H3k09me3AlnRep1	0	0.9913989921132185
emissionprobs	1	5	H3k09me3AlnRep1	1	0.00860100788678148
emissionprobs	1	6	H3k27acAlnRep1	0	0.9998371031210975
emissionprobs	1	6	H3k27acAlnRep1	1	1.628968789024681E-4
emissionprobs	1	7	H3k27me3AlnRep1	0	0.7459990725865515
emissionprobs	1	7	H3k27me3AlnRep1	1	0.2540009274134485
emissionprobs	1	8	H3k36me3AlnRep1	0	0.9998077298512661
emissionprobs	1	8	H3k36me3AlnRep1	1	1.9227014873385894E-4
emissionprobs	1	9	H3k79me2AlnRep1	0	0.9996228117731905
emissionprobs	1	9	H3k79me2AlnRep1	1	3.7718822680955826E-4
